,year,CTY_CODE,CTYNAME,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
89,2012,8,NICS,9331.381489,9236.292814,10216.301290000001,10850.05753,10963.425640000001,10556.608890000001,10908.585140000001,10205.238720000001,10444.793029999999,11019.9653,10135.000240000001,9573.074492,123440.7246,9567.602895999999,11746.474740000001,12789.05437,11817.03057,11247.139990000001,11978.93671,10165.83855,10155.28575,10827.12132,10417.421859999999,11166.41871,12740.3941,134618.7196
90,2013,8,NICS,10275.2212,9012.523432,10128.645779999999,10859.25692,11000.47572,10427.0321,0.0,0.0,0.0,0.0,0.0,0.0,61703.15516,10337.70031,11876.490670000001,12804.65705,10517.14663,11488.95471,12259.97076,0.0,0.0,0.0,0.0,0.0,0.0,69284.92012000001
97,2007,9,South and Central America,10163.19463,9092.540352,10851.6481,10765.22748,11328.44955,10690.26627,11570.96267,12072.957559999999,11347.22361,12349.91869,12018.76254,12564.47056,134815.622,7949.18056,7366.0917739999995,8405.472622,8069.115808,8596.942652,8693.440048,8878.970536,9379.333161,8989.71038,10292.06695,9957.495892,10202.547929999999,106780.3683
98,2008,9,South and Central America,13158.56423,11759.050009999999,12380.229229999999,13136.7348,13956.2816,15704.46682,17081.58061,15788.34028,14319.67021,13690.56405,9829.301728,9174.652628,159979.4362,9955.983671,10277.588909999999,10889.598320000001,11153.51786,11849.0001,12523.70136,12461.86768,14114.547209999999,11377.76517,12333.69572,10626.50831,9381.888487,136945.6628
99,2009,9,South and Central America,8288.522949,7402.022690999999,8520.276414,7887.103518999999,8307.131852,9317.012056,10266.90005,9099.695251000001,9901.147793,9317.797352,9522.963216,10268.57119,108099.1443,8804.491826000001,8046.769998999999,8745.636018000001,8010.7528569999995,8767.307198,8920.873596,8861.920070999999,9218.221947,9129.628981,10431.27981,10132.66654,10479.25176,109548.8006
100,2010,9,South and Central America,9733.335334000001,9578.282873,11312.01274,11027.11688,10619.38357,11090.24045,11563.25252,11655.275959999999,10963.336809999999,10826.80853,11228.64015,11827.09593,131424.7817,9723.834653,9834.005941,12044.85995,11428.43131,11893.9405,11292.36873,11711.7973,11819.606940000001,11377.56243,12969.50361,12386.10946,12094.790309999998,138576.8111
101,2011,9,South and Central America,13130.38873,11707.31744,14890.942280000001,15006.833030000002,15536.56596,15191.626369999998,14613.31301,15513.79676,15302.58569,14471.302269999998,14370.577480000002,14559.533580000001,174294.7826,12622.97947,11776.53926,14377.11126,14031.80421,14191.544580000002,13678.0855,14676.75431,14765.390019999999,14400.358880000002,15251.25607,14569.767630000002,14404.64516,168746.2364
102,2012,9,South and Central America,14266.600730000002,13904.40179,16629.61514,15065.25246,14555.71381,13803.15608,13662.08855,15207.15156,14021.07791,13446.32314,14034.8262,13184.28983,171780.4972,13708.958359999999,13342.82797,15869.77375,15585.524169999999,15345.33588,14998.70094,14272.908290000001,15539.547330000001,16126.55544,16014.12029,15582.20205,16801.30676,183187.7612
103,2013,9,South and Central America,14067.072069999998,11832.15984,13199.67161,13443.836009999999,14343.56089,12826.68224,0.0,0.0,0.0,0.0,0.0,0.0,79712.98265,15149.92676,14545.3222,15666.570069999998,14319.16178,14844.47581,15492.026740000001,0.0,0.0,0.0,0.0,0.0,0.0,90017.48336
110,2007,10,North America,40488.21578,38821.611619999996,45428.2004,42338.801660000005,44938.93689,45814.85004,41506.50617,46018.039260000005,44200.78553,48570.153210000004,47366.63929,42277.98957,527770.7294,28487.06009,28314.51512,33500.258010000005,31113.033110000004,33748.590189999995,33328.68423,29960.695330000002,33661.88957,32419.59245,35629.92047,34779.313839999995,29862.730880000003,384806.2833
111,2008,10,North America,44413.56963,45173.55087,47675.16359,50597.46766,49107.96892,50465.20265,51446.433880000004,49517.234469999996,47579.77179,47402.97449,38074.55503,33979.15132,555433.0443,32476.182839999998,33217.697980000004,34771.3308,35956.726389999996,36684.37337,37124.622460000006,36126.16384,35825.25778,35083.4806,36934.26731,31117.088839999997,27052.697780000002,412369.89
112,2009,10,North America,30017.8681,29641.86085,31824.496560000003,30926.872539999997,29716.327830000002,32560.90778,32845.04917,34290.73866,36042.724010000005,38519.11748,37581.293139999994,38935.56545,402902.8216,24514.72252,24770.08713,26949.15905,25722.4893,25487.9966,27364.00645,27584.412239999998,28711.14132,29968.66709,31561.71155,30599.72408,30315.97552,333550.0929
113,2010,10,North America,37743.23764,37692.51494,44405.7848,42251.2162,43077.3024,44742.667310000004,39513.3911,43709.18997,42949.39322,44468.48416,43439.46353,43629.710719999995,507622.356,28760.94747,30260.37847,36390.54955,34218.86593,34650.638719999995,36167.029910000005,32854.27597,35391.78219,35788.00515,37110.650610000004,36016.98774,35310.99313,412921.1048
114,2011,10,North America,44399.68025,42269.0347,51575.248889999995,47296.12024,49935.62778,49572.419630000004,46537.741630000004,50299.69292,49538.90044,49582.251639999995,49323.85439,47909.826180000004,578240.3987,35500.1733,34415.93634,43036.21034,39900.68709,41258.693510000005,40900.17156,38296.22391,42747.89353,41056.10775,42213.3535,40963.61965,39071.04985,479360.1203
115,2012,10,North America,48283.0014,48892.775460000004,54265.787710000004,50523.03308,52392.67927,50821.61305,47467.03362,50760.77526,48165.7927,52439.165539999995,51435.825110000005,46058.80143,601506.2836,39083.82821,40439.95213,45427.76256,41709.777760000004,44337.40406,43315.89346,40306.207969999996,44046.40549,41592.403119999995,46140.48785,43433.83937,38636.91904,508470.881
116,2013,10,North America,49513.24818,47647.63697,51542.16172,52924.65965,52883.701310000004,49943.76087,0.0,0.0,0.0,0.0,0.0,0.0,304455.1687,41092.26601,40869.808,43971.22607,46146.23588,45717.19192,43539.30475,0.0,0.0,0.0,0.0,0.0,0.0,261336.0326
